t,symbol,high,low,open,close,volume
1623902400000,TSLA,207.1567,200.4467,200.6293,205.5333,67879050.0
1623988800000,TSLA,209.45,203.9333,204.4567,207.77,73666815.0
1624248000000,TSLA,210.4633,202.96,208.16,206.9433,74438223.0
1624334400000,TSLA,209.5231,205.1667,206.0833,207.9033,57468126.0
1624420800000,TSLA,219.068,210.0133,210.6667,218.8567,93297684.0
1624507200000,TSLA,232.54,222.5367,224.9967,226.6067,137947158.0
1624593600000,TSLA,231.27,222.9,229.86,223.9567,97490121.0
1624852800000,TSLA,231.5666,223.44,223.88,229.5733,64864227.0
1624939200000,TSLA,229.17,225.2967,228.2167,226.92,52143939.0
1625025600000,TSLA,230.9367,226.0467,226.59,226.5667,56743986.0
1625112000000,TSLA,229.33,224.2667,227.9733,225.9733,55850466.0
1625198400000,TSLA,233.3333,224.42,226.3267,226.3,81292122.0
1625544000000,TSLA,228.0,217.1334,227.2372,219.86,69651750.0
1625630400000,TSLA,221.9,212.7733,221.4233,214.8833,56359380.0
1625716800000,TSLA,218.1433,206.82,209.4567,217.6033,68222448.0
1625803200000,TSLA,219.6367,214.8967,217.7283,218.9833,53789244.0
1626062400000,TSLA,229.08,220.7203,220.7333,228.5667,77697126.0
1626148800000,TSLA,231.0933,222.0986,228.7733,222.8467,62784276.0
1626235200000,TSLA,226.2033,217.6133,223.5833,217.7933,64923570.0
1626321600000,TSLA,222.0467,212.6267,219.4633,216.8667,60620313.0
1626408000000,TSLA,218.9,214.0667,218.2267,214.74,48752910.0
1626667200000,TSLA,215.7333,207.0967,209.9633,215.4067,63516270.0
1626753600000,TSLA,220.7972,213.5003,217.33,220.1667,46364781.0
1626840000000,TSLA,221.62,216.7634,219.87,218.43,41560014.0
1626926400000,TSLA,220.7233,214.8667,218.8143,216.42,45317181.0
1627012800000,TSLA,216.2667,212.4334,215.4533,214.46,43783932.0
1627272000000,TSLA,222.7333,215.7033,216.99,219.2067,75977118.0
1627358400000,TSLA,222.1667,209.08,221.1333,214.9267,98437011.0
1627444800000,TSLA,218.3233,213.1334,215.665,215.66,47524788.0
1627531200000,TSLA,227.8967,216.2667,216.5967,225.7833,90883911.0
1627617600000,TSLA,232.51,223.0,223.9193,229.0667,88903233.0
1627876800000,TSLA,242.3133,232.8,233.3333,236.5567,100772745.0
1627963200000,TSLA,240.8833,233.67,239.6667,236.58,64860759.0
1628049600000,TSLA,241.6333,236.31,237.0,236.9733,51007941.0
1628136000000,TSLA,240.3166,237.1367,238.6667,238.21,38758911.0
1628222400000,TSLA,238.7767,232.5433,237.3,233.0333,46869147.0
