symbol,date,high,low,open,close,volume
GOOG,2021-07-01,126.4625,124.8498,124.8498,126.3685,17124600.0
GOOG,2021-07-02,128.848,126.769,126.8395,128.719,21165120.0
GOOG,2021-07-06,129.8845,128.409,129.4495,129.771,21350340.0
GOOG,2021-07-07,130.6399,129.76,130.341,130.0775,16683720.0
GOOG,2021-07-08,130.0325,128.04,128.25,129.177,19779500.0
GOOG,2021-07-09,129.8495,128.9435,128.9445,129.5745,15109320.0
GOOG,2021-07-12,130.77,129.6,129.8335,130.564,16950920.0
GOOG,2021-07-13,132.042,130.637,130.8815,130.9945,16617960.0
GOOG,2021-07-14,132.996,131.898,131.9015,132.0825,17918540.0
GOOG,2021-07-15,132.595,130.598,132.5,131.2665,16586320.0
GOOG,2021-07-16,132.183,130.8215,131.641,131.8455,14861180.0
GOOG,2021-07-19,131.247,128.537,131.1555,129.254,25709320.0
GOOG,2021-07-20,132.0014,129.1884,130.004,131.1015,19083120.0
GOOG,2021-07-21,132.6172,130.6015,130.787,132.6005,14741640.0
GOOG,2021-07-22,133.5045,132.4,132.65,133.3285,13608140.0
GOOG,2021-07-23,138.8085,134.7005,135.26,137.816,26377740.0
GOOG,2021-07-26,139.713,137.651,138.25,139.6445,23052460.0
GOOG,2021-07-27,140.011,135.1,140.011,136.7965,42163060.0
GOOG,2021-07-28,139.676,136.35,138.562,136.3815,54688340.0
GOOG,2021-07-29,137.1515,136.138,136.3806,136.5405,19283340.0
GOOG,2021-07-30,135.7714,134.8142,135.511,135.221,23954500.0
GOOG,2021-08-02,136.0205,134.6695,135.4845,135.9895,20140040.0
GOOG,2021-08-03,136.3355,134.1835,136.0,136.28,19064000.0
GOOG,2021-08-04,136.538,135.415,136.2495,136.0285,16527140.0
GOOG,2021-08-05,136.95,135.6,136.0285,136.94,11871780.0
GOOG,2021-08-06,137.08,136.0465,136.295,137.036,13565020.0
GOOG,2021-08-09,138.3215,136.4288,136.949,138.002,12379560.0
GOOG,2021-08-10,138.5515,137.2265,138.0795,138.0965,16039080.0
GOOG,2021-08-11,138.8478,137.35,138.283,137.6895,15044660.0
GOOG,2021-08-12,138.418,136.779,137.713,138.3895,14649400.0
GOOG,2021-08-13,138.674,138.005,138.3575,138.406,12580580.0
GOOG,2021-08-16,138.9905,136.1658,138.0,138.916,18050840.0
GOOG,2021-08-17,138.7185,136.7875,138.191,137.3005,21274020.0
GOOG,2021-08-18,138.294,136.421,137.1155,136.57,14934460.0
GOOG,2021-08-19,137.452,135.356,135.4675,136.9135,18295920.0
GOOG,2021-08-20,138.6145,136.467,137.083,138.437,15566740.0
GOOG,2021-08-23,142.177,138.7479,138.9985,141.0995,21089680.0
GOOG,2021-08-24,143.0075,141.3535,141.5435,142.3985,15126260.0
GOOG,2021-08-25,143.313,142.4395,142.883,142.95,12843060.0
GOOG,2021-08-26,143.1348,142.0915,142.6185,142.123,14922000.0
GOOG,2021-08-27,145.011,142.02,142.1125,144.5505,24568240.0
GOOG,2021-08-30,146.4895,144.6,144.7045,145.4695,16915900.0
